outer_fold,record_id,record_fold,feature_role,scorer_excluded_folds,own_fold_excluded,outer_test_fold_excluded
0,medfact_bench_1046,0,outer_test,0,True,True
0,medfact_bench_1047,0,outer_test,0,True,True
0,medfact_bench_1048,0,outer_test,0,True,True
0,medfact_bench_1049,0,outer_test,0,True,True
0,medfact_bench_1129,0,outer_test,0,True,True
0,medfact_bench_1130,0,outer_test,0,True,True
0,medfact_bench_1131,0,outer_test,0,True,True
0,medfact_bench_1132,0,outer_test,0,True,True
0,medfact_bench_1133,0,outer_test,0,True,True
0,medfact_bench_1134,0,outer_test,0,True,True
0,medfact_bench_1239,0,outer_test,0,True,True
0,medfact_bench_1240,0,outer_test,0,True,True
0,medfact_bench_1241,0,outer_test,0,True,True
0,medfact_bench_1242,0,outer_test,0,True,True
0,medfact_bench_1293,0,outer_test,0,True,True
0,medfact_bench_1300,0,outer_test,0,True,True
0,medfact_bench_1475,0,outer_test,0,True,True
0,medfact_bench_1510,0,outer_test,0,True,True
0,medfact_bench_164,0,outer_test,0,True,True
0,medfact_bench_117,0,outer_test,0,True,True
0,medfact_bench_118,0,outer_test,0,True,True
0,medfact_bench_1252,0,outer_test,0,True,True
0,medfact_bench_1258,0,outer_test,0,True,True
0,medfact_bench_1277,0,outer_test,0,True,True
0,medfact_bench_1294,0,outer_test,0,True,True
0,medfact_bench_1299,0,outer_test,0,True,True
0,medfact_bench_1315,0,outer_test,0,True,True
0,medfact_bench_1343,0,outer_test,0,True,True
0,medfact_bench_1348,0,outer_test,0,True,True
0,medfact_bench_1361,0,outer_test,0,True,True
0,medfact_bench_1366,0,outer_test,0,True,True
0,medfact_bench_137,0,outer_test,0,True,True
0,medfact_bench_1243,0,outer_test,0,True,True
0,medfact_bench_1244,0,outer_test,0,True,True
0,medfact_bench_1245,0,outer_test,0,True,True
0,medfact_bench_1246,0,outer_test,0,True,True
0,medfact_bench_1247,0,outer_test,0,True,True
0,medfact_bench_1248,0,outer_test,0,True,True
0,medfact_bench_1249,0,outer_test,0,True,True
0,medfact_bench_1250,0,outer_test,0,True,True
0,medfact_bench_1251,0,outer_test,0,True,True
0,medfact_bench_1253,0,outer_test,0,True,True
0,medfact_bench_1254,0,outer_test,0,True,True
0,medfact_bench_1255,0,outer_test,0,True,True
0,medfact_bench_1256,0,outer_test,0,True,True
